Site ID?,Camera or song meter ID?,Checked by?,Assistants?,What are you doing?,Have you taken a waypoint on your GPS?,Song meter set up correctly? ,Camera date and time correct? ,Photos / videos taken by camera?,Battery Status?,SD card swapped? ,New SD card ID?,ID of SD card in camera?,SD card taken? ,Habitat type?,Notes / Comments,Photo of SD card ID,Photo of camera or song meter ID,Photo of camera or song meter set-up,Date,Time,Location,Entry_ID,Photo of SD card ID.http,Photo of camera or song meter ID.http,Photo of camera or song meter set-up.http,__id
B32,C057,"STS, MML, ASN, HLW",Dogbah Peter,Camera set-up,Yes,,Yes,,,,C057a,,,"Primary forest, Hillside, High primary with understory ","The camera was set up in a primary forest, facing about 100m North East toward a wetland and approximately 520m away from the main point.",file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-21 11.08.15.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-21 11.09.06.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-21 11.10.12.jpg,11/21/2025,11:01:30 AM,"7.0731548,-10.2534928",11,https://drive.google.com/uc?id=1WZPuoe5dzXNoByibmAzmyiv8W5DGLMZo,https://drive.google.com/uc?id=1P-FbXLdLey5hdW0MEUG1DxE-q4bQSR1Q,https://drive.google.com/uc?id=1-yQi78EDV3NU0OH5RmOiBL61SRxWZNCv,VUdFUlRNSkJzO3VPKSZhSz5JMHU
B31,C065,"STS, MML, ASN, HLW",Dogbah Peter ,Camera set-up,Yes,,Yes,,,,C065a,,,"Primary forest, High primary with understory ",The camera was set-up about 89m away from the main point in a primary forest under a fruiting tree.,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-21 13.01.28.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-21 13.02.33.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-21 13.03.07.jpg,11/21/2025,12:53:30 PM,"7.0728398,-10.2617777",12,https://drive.google.com/uc?id=1vjhlcXi4YnEWaud4k0eHkd9fADvU1lDt,https://drive.google.com/uc?id=1kHeMCbIldLJDk0KbrCCX1beKHv6xHxew,https://drive.google.com/uc?id=1lBC5ugaI6I3YSmj5ZNInV-1Sl8XvwH7K,KkIpVzc5KktRaHFnTERyRFhINkQ
B33,C044,"STS, MML, ASN, HLW",Dogbah Peter ,Camera set-up,Yes,,Yes,,,,C044a,,,"Primary forest, High primary with understory ",The camera was set up in a primary forest about 580m away from the main and approximately 200m away from a wetland.,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-21 16.32.39.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-21 16.33.35.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-21 16.37.21.jpg,11/21/2025,4:31:30 PM,"7.0756985,-10.239967",13,https://drive.google.com/uc?id=1bv77k28dVrLPaUevogUhgi8zmjvv5un7,https://drive.google.com/uc?id=1hfCXhIWz2UslQHlXjEQmzi67XycEiww3,https://drive.google.com/uc?id=1IsWIMW96XUusMSkta-87U2pugdFi12tX,KnlVQUFtMFZySDMqMlMhKyNSJTA
B33,S13,"STS, MML, ASN, HLW",Dogbah Peter ,Song meter set-up,Yes,Yes,,,,,S13a,,,"Primary forest, High primary with understory ","The song meter was set up in a primary forest, on a hillside, about 200m away from camera C044",file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-21 17.12.17.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-21 17.14.26.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-21 17.15.04.jpg,11/21/2025,5:10:30 PM,"7.07411,-10.24101",14,https://drive.google.com/uc?id=1zgDL6Ajjj1NjLUXzMSeCYQEA1edGY9PG,https://drive.google.com/uc?id=1eZdI88dG5TmGAGKXXR5qifYN_AfQQyZp,https://drive.google.com/uc?id=1kdTaNP3uncBnsABgNSSFW8N09evaI-8I,JkJZKjktekI7cUtXLVJFJV1kSVM
B05,C071,"STS, MML, ASN, HLW",Justin Flomo,Camera set-up,Yes,,Yes,,,,C071a,,,"Primary forest, Late secondary, High primary with understory ","The camera was set up in a primary forest, 35m away from a fruiting Parinari excelsa tree, 100m away from the point, and about 150m away from a wetland.",file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-24 13.08.54.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-24 13.10.01.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-24 13.11.03.jpg,11/24/2025,1:00:30 PM,"7.140525,-10.2213067",15,https://drive.google.com/uc?id=1G_2Ybzp0xgO50NgfwKp50IPgBJ4zLfif,https://drive.google.com/uc?id=1R4J3fLYScG6wNekTW-jMAae_BZ5Phirm,https://drive.google.com/uc?id=1KqkJNIs1ZGhxBsKlOAFj76830Z0htGgO,UStDaEB1dFlhJUpuOTwyaDV1U0s
B06,C072,"STS, MML, ASN, HLW",Justin Flomo ,Camera set-up,Yes,,Yes,,,,C072a,,,"Primary forest, High primary with understory ","The camera was set up in a primary forest with open canopy & understory, on a low land, near a Pycnanthus angolenses tree, about 190m away from the main point.",file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-24 15.07.42.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-24 15.08.25.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-24 15.09.27.jpg,11/24/2025,3:03:30 PM,"7.1421321,-10.2094933",16,https://drive.google.com/uc?id=1m564HNeI5c6hOZjqdmYKwgPM05xKg9jD,https://drive.google.com/uc?id=1Lqnbcf2LkiHnIIRSjGEd9h0IchUagFPS,https://drive.google.com/uc?id=1Kr8X8DKitLoq2gb87SX6Th9xLAb-KjOE,RTVMXTYycyhyQjVTQHNXTjBMdmc
B06,S18,"STS, MML, ASN, HLW",Justin Flomo ,Song meter set-up,Yes,Yes,,,,,S18a,,,"Primary forest, Late secondary","The song meter was set up in a primary forest, near a termite mount, about 318m away from camera C072.",file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-24 15.42.58.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-24 15.43.54.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-24 15.45.19.jpg,11/24/2025,3:40:30 PM,"7.1408438,-10.2117948",17,https://drive.google.com/uc?id=1YodBjzD4CEdp7Z6DGxIpefp1Qxo_wD-C,https://drive.google.com/uc?id=1BLUy7BSuQZLJoModayQkjM313NC3Cgzo,https://drive.google.com/uc?id=1XqN21RT7T8rNlT2uA3QoaDlZWiPgbJLb,KHMpaW48UipQI0BrVCpQRiVbUHk
B55_1,C070,"STS, MML, ASN, HLW",Ezekiel Tokpah ,Camera set-up,Yes,,Yes,,,,C070a,,,"Secondary forest, Late secondary",The camera was set up in a secondary forest about 463m away from the point.,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-26 11.23.17.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-26 11.24.59.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-26 11.25.30.jpg,11/26/2025,11:21:30 AM,"7.0092077,-10.2470751",18,https://drive.google.com/uc?id=1N8FodwcdyDyAXFL6V4k2rrOTOH6Qcb5O,https://drive.google.com/uc?id=1io5fhqlteeXyBd2zS23fauqLCHXGX8cY,https://drive.google.com/uc?id=1mSqMIR7SSD_s7_657YDOfQNt0GLlqMM2,VDxVMVU3emdqJStSSEl3USE0eVg
B055_2,C067,"STS, MML, ASN, HLW",Ezekiel Tokpah ,Camera set-up,Yes,,Yes,,,,C067a,,,"Secondary forest, Late secondary",The camera was set up in a secondary forest about 317m away from camera C070  and approximately 50m away from a bend-bush.,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-26 12.29.24.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-26 12.30.06.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-26 12.30.25.jpg,11/26/2025,12:24:30 PM,"7.0109021,-10.2449215",19,https://drive.google.com/uc?id=1NMT0qcVQb_5BAGKObC_WUs8ulRymbJ6d,https://drive.google.com/uc?id=1d0H65onRV77U7nGhc0nh7MChT4GX2F4J,https://drive.google.com/uc?id=1OfyduiRzz8OjaBa5qXy6LgCrzeGjzKFl,RWcoI1szaC06KHVnVW1qWGY-Jig
B055,S39,"STS, MML, ASN, HLW",Ezekiel Tokpah ,Song meter set-up,Yes,Yes,,,,,S39a,,,"Secondary forest, Late secondary",The song meter was set up in a secondary forest about 60m away from camera C067.,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-26 12.45.13.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-26 12.45.53.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2025-11-26 12.48.13.jpg,11/26/2025,12:43:30 PM,"7.010745,-10.2445617",20,https://drive.google.com/uc?id=1bm-lMH4tq90qm4Th7VGVtUegmJLf85Hh,https://drive.google.com/uc?id=1SdLyWiCYqf6_Dym5lLPXAAZHU9lz5PVB,https://drive.google.com/uc?id=1TpgRRiAxCwnlWiIC7lZCFQgJIw730Us0,V3hNUjYmeUJSMHhyUio4WSoqZ3o
B34,C089,"STS, MML, ASN, HLW",Dekergar Dagolly,Camera status check,,,Yes,Yes,Fine,Yes,C089b,,Yes,,"The camera was met in a suitable condition with the batteries fully charged, with 82 videos being recorded by the camera.",file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2026-01-09 11.07.12.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2026-01-09 11.08.47.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2026-01-09 11.09.36.jpg,1/9/2026,11:02:30 AM,,21,https://drive.google.com/uc?id=1XMdrmdPYPa2UwhcU8AOGWVJWyocJaEVz,https://drive.google.com/uc?id=1nnzw-DPEvWVSdaV8fMEasmZGci0sHt2_,https://drive.google.com/uc?id=1-S_nNBnuPYEFfU58XebRXpKn2VOqYKbK,UzA1dWtNNFUxcUpJbio7Umh6aSY
B35,C133,"STS, MML, ASN, HLW",Dekergar Dagolly ,Camera status check,,,Yes,Yes,Low,Yes,C133b,,Yes,,"The camera was met in favorable condition with the date and time set correctly, and the camera recorded 129 videos. ",file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2026-01-09 12.49.41.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2026-01-09 12.50.17.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2026-01-09 12.50.48.jpg,1/9/2026,12:45:30 PM,,22,https://drive.google.com/uc?id=1geze60rEqRB1BgF9hOnlNLSn_HCZeqPc,https://drive.google.com/uc?id=15gK3zlaMOwmFyM0907hz4gQfEVOpHJav,https://drive.google.com/uc?id=1FSA_YhHcSb5aO2TA8XE_7aqyrbFzSnrC,Sz5vMXNFZ0FHZzI3VVpQRkZRc10
B49,C131,"STS, MML, ASN, HLW",Mohammed sheriff ,Camera status check,,,Yes,Yes,Low,Yes,C131b,,Yes,,The camera was met on and in a suitable condition with 6 videos being recorded.,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2026-01-12 10.16.40.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2026-01-12 10.18.55.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2026-01-12 10.19.29.jpg,1/12/2026,10:11:30 AM,"7.01302,-10.24364",23,https://drive.google.com/uc?id=16pzF_eodxjP7nztUtEWA2adMQpNLMbbU,https://drive.google.com/uc?id=1fIOGSlQj5L36JQA_9H2wCvbzwtWw-rYl,https://drive.google.com/uc?id=1bAeaAAaQ1fCAe0oYZY5CM4_OYnnRyrGY,VXIrREdwYUw-d2M0NW5YR3IhWF0
B49,C086,"STS, MML, ASN, HLW",Mohammed sheriff ,Camera status check,,,Yes,Yes,Low,Yes,C086b,,Yes,,"The camera was met in the same location in a favorable condition with 23 videos being recorded. But after the batteries and the SD card were changed, it started malfunctioning.",file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2026-01-12 11.10.58.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2026-01-12 11.11.49.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2026-01-12 11.12.18.jpg,1/12/2026,11:06:30 AM,"7.0154567,-10.2512967",24,https://drive.google.com/uc?id=1exlGWCQxduA_D8N8BPzuOJj7HuxzzCwH,https://drive.google.com/uc?id=150SvJRQAXETFbqkFeV04Gg4grYgF3Ov7,https://drive.google.com/uc?id=1s76W_5OB7Z181xHtFOJVsjdHhillP676,UDZQJVczWklrd1NdRztFakg-IU8
B49,C069,"STS, MML, ASN, HLW",Mohammed sheriff ,Camera status check,,,Yes,Yes,Low,Yes,C069b,,Yes,,The camera was met in the same location in a favorable condition.,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2026-01-12 12.20.01.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2026-01-12 12.21.07.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2026-01-12 12.21.51.jpg,1/12/2026,12:16:30 PM,"7.0183083,-10.2427067",25,https://drive.google.com/uc?id=1mW5TNAEgKtElIEdEW4jzR4uhVVr53Ly-,https://drive.google.com/uc?id=1vWp6abXUC9VCojktsndlPj4zuH2UkkST,https://drive.google.com/uc?id=1EWWSqQvYwl3W5mnw9mVpNEVextf433IQ,UF1PKFRdUkNuYlJoIXlONm5ZI0k
B50,C062,"STS, MML, ASN, HLW",Mohammed sheriff ,Camera status check,,,Yes,Yes,Low,Yes,C062b,,Yes,,The camera was met in the same location in a favorable condition with 43 videos being recorded in the last working cycle.,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2026-01-12 13.17.00.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2026-01-12 13.17.42.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2026-01-12 13.18.50.jpg,1/12/2026,1:14:30 PM,"7.0196683,-10.2340833",26,https://drive.google.com/uc?id=1TjDgbs9E28dDdWxwQLu57wrSylsrFiCK,https://drive.google.com/uc?id=1rlSeROM_NoH2aAtfGNA0ysgB9cBKd0jP,https://drive.google.com/uc?id=1pdndzIrdxP3LhA1UIJSqT6QpZOMfHYYW,QERKVnpGOUgqVEFQVFgrQUo6UkM
B50,C139,"STS, MML, ASN, HLW",Mohammed sheriff ,Camera status check,,,Yes,Yes,Low,Yes,C139b,,Yes,,The camera was met in the same location in a favorable condition with 24 videos being recorded in the last working cycle.,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2026-01-12 13.47.00.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2026-01-12 13.49.19.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2026-01-12 13.49.54.jpg,1/12/2026,1:44:30 PM,"7.0160365,-10.2326633",27,https://drive.google.com/uc?id=1Sh_DksHsjBf0fCQX-SqcwOqdVyhoLdvq,https://drive.google.com/uc?id=1jJvOIgHqM5A5_s4sMhB0b39D73W5qvXT,https://drive.google.com/uc?id=1d5ZCmn7ZxUjzL-4PurYFMFjC4GKOLaj1,KiYtMWErdk1ZeXU7b3MmWkI4Z1A
B57,C043,"STS, MML, ASN, HLW",Mohammed sheriff ,Camera status check,,,Yes,Yes,Low,Yes,C043b,,Yes,,The camera was met in the same location in a favorable condition with 53 videos being recorded in the last working cycle.,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2026-01-13 10.56.23.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2026-01-13 10.57.32.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2026-01-13 10.58.02.jpg,1/13/2026,10:50:30 AM,"7.0069476,-10.216826",28,https://drive.google.com/uc?id=1Jd1notawg_dW9_4bWqxXutUTf1KiuBha,https://drive.google.com/uc?id=111EQcUqCYVNxctJlud8YthxKEu0DoiER,https://drive.google.com/uc?id=1NMSrY3HEK-97hld6-_CFQrLIwvqwcLl-,VWpQVXpkVnNbPis7dzZ1Ji1rcio
B58,C063,"STS, MML, ASN, HLW",Mohammed sheriff ,Camera retrieval,,,Yes,Yes,Dead,Yes,C063b,C063a,Yes,,"The camera was met in the same location with a low battery signal, malfunctioning buttons, with a blurry screen.",file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2026-01-13 11.37.21.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2026-01-13 11.27.34.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2026-01-13 11.38.00.jpg,1/13/2026,11:24:30 AM,"7.0092752,-10.2119483",29,https://drive.google.com/uc?id=1ruJlId_37Y9zpDhITZDSf2JjnHN1xwNU,https://drive.google.com/uc?id=1mWlZGPFKjZZ1dpL_rr3sMDVDfFJmEl6c,https://drive.google.com/uc?id=1aFcg3InHYmHRVStlrPSH472qIcPNtLdr,Sz5tTio3KlJbJU0pOUs0XShoOVg
B27,C055,"STS, MML, ASN, HLW",Nathaniel Richards ,Camera status check,,,Yes,Yes,Low,Yes,C055b,,Yes,,The camera was met in the same location with 14 videos being recorded in the last working cycle.,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2026-01-14 11.45.24.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2026-01-14 12.00.02.jpg,file:///data/user/0/com.luckydroid.droidbase/files/files/-247342274/2026-01-14 12.00.35.jpg,1/14/2026,11:40:30 AM,"7.0884088,-10.2442448",30,https://drive.google.com/uc?id=1uCJojDL8Q17G566dxBjDs7dFYSVnu-9K,https://drive.google.com/uc?id=10MRnVIFgAY9uUebhTZQqqosAy8pylQBT,https://drive.google.com/uc?id=1edJvFTd25SE16CYBBsgTpQmIzWnMlWdk,UlQtUjAqa3NMSk5xRDIqTnZ4WEs
